Date,Open,High,Low,Close,Adj Close,Volume
01-10-2010,168.5,170.5,166.699997,168.25,166.137939,531926
04-10-2010,170,174.300003,169.699997,172.25,170.087723,1174325
05-10-2010,173,179.25,172.5,177.800003,175.568054,2250859
06-10-2010,178,181.899994,175.800003,176.949997,174.728729,887655
07-10-2010,178,184.75,176.75,178.149994,175.913666,2171136
08-10-2010,179.199997,183.699997,178.199997,180.399994,178.135406,1606868
11-10-2010,182,185.399994,178.350006,184.149994,181.838348,1974242
12-10-2010,185.25,187.399994,182.5,186.100006,183.76387,2220037
13-10-2010,187.5,187.800003,185.25,186.649994,184.306961,803536
14-10-2010,188,188.5,179.399994,180.25,177.987305,1042470
15-10-2010,180.25,182.449997,174.25,175.699997,173.4944,767798
18-10-2010,177,177,172.449997,175.899994,173.691895,510890
19-10-2010,175.600006,179.199997,173.300003,174.149994,171.963867,693908
20-10-2010,174.649994,176.550003,173.050003,173.699997,171.519531,413105
21-10-2010,174.5,178.850006,174.5,178.100006,175.864304,597085
22-10-2010,179,181.25,177.600006,179,176.752991,705107
25-10-2010,180,181.449997,177.149994,179.149994,176.901108,556495
26-10-2010,179.25,180.649994,175.649994,176.050003,173.840027,444320
27-10-2010,175.699997,185,173.25,182.5,180.209061,1155920
28-10-2010,184.699997,185.449997,178.050003,179.850006,177.592346,1435343
29-10-2010,180,183,177.899994,179.550003,177.296097,899615
01-11-2010,182.100006,185,180.5,183.550003,181.24588,375138
02-11-2010,184,186.449997,181,182.100006,179.814087,1153149
03-11-2010,183.550003,184.350006,179.649994,180.25,177.987305,486967
04-11-2010,180.949997,182.949997,180.550003,181.5,179.221603,518959
08-11-2010,179.600006,182.5,178.550003,179.399994,177.147964,333091
09-11-2010,179.850006,182.25,178.75,180.699997,178.431656,563358
10-11-2010,179.949997,182.25,179,179.399994,177.147964,488566
11-11-2010,178.25,182,174.75,176.149994,173.938766,969852
12-11-2010,175.100006,176.199997,169.100006,169.949997,167.816605,920783
15-11-2010,170.550003,171.5,164,168.050003,165.940445,1192680
16-11-2010,169.5,171.800003,158.600006,161.800003,159.768906,1696776
18-11-2010,160.5,161.800003,145.399994,153.899994,151.968079,4509939
19-11-2010,153.699997,153.699997,147,148.399994,146.537125,2121664
22-11-2010,150,151.600006,147.25,149.300003,147.425827,1020956
23-11-2010,148.600006,150.350006,145.050003,146.050003,144.216629,1354410
24-11-2010,146.5,148.449997,141.75,143.550003,141.748001,858402
25-11-2010,144.5,144.5,136.100006,137.899994,136.168915,1494302
26-11-2010,137.600006,137.949997,129.25,130.300003,128.664337,1909621
29-11-2010,131.199997,131.5,124.25,127.699997,126.09697,2243426
30-11-2010,125.900002,133.25,123.050003,132.050003,130.392365,2148737
01-12-2010,132.5,137.850006,131.649994,137.25,135.527084,1251553
02-12-2010,140,143.300003,139.100006,141.800003,140.019989,1930003
03-12-2010,141.350006,142.800003,136.350006,139.5,137.748825,913546
06-12-2010,141,142.699997,135.300003,135.649994,133.947174,970669
07-12-2010,135,136.199997,132.850006,134.149994,132.466003,812459
08-12-2010,133.199997,133.5,129.149994,129.850006,128.220001,798303
09-12-2010,131,131.25,120.849998,122.5,120.962242,2366368
10-12-2010,123.099998,128.800003,119.75,126.150002,124.566429,1592420
13-12-2010,128.600006,129.300003,125.300003,128.649994,127.035042,1347787
14-12-2010,130.550003,131.699997,127,128,126.393196,1283831
15-12-2010,130,131.699997,128.199997,129.100006,127.479401,1330389
16-12-2010,129.649994,130.449997,126.5,128.899994,127.281906,725101
20-12-2010,128.5,129,126.050003,126.75,125.158897,542365
21-12-2010,126.199997,128.100006,125.199997,127.199997,125.603241,1030699
22-12-2010,127.5,130.199997,127.5,128.149994,126.541313,630679
23-12-2010,128.75,129.699997,128,128.399994,126.788185,423010
24-12-2010,127.75,144.399994,127.5,141.899994,140.118713,6447536
27-12-2010,142.949997,142.949997,136.199997,136.850006,135.132111,3166087
28-12-2010,138.600006,142.600006,138.149994,139.199997,137.452606,3837546
29-12-2010,140,140.199997,136.25,138.5,136.761414,1477137
30-12-2010,138.949997,139.699997,136.600006,138.199997,136.465164,949122
31-12-2010,140.100006,145.850006,139.800003,145.100006,143.278564,3184589
03-01-2011,147.149994,149.899994,146.5,147.899994,146.043396,1677646
04-01-2011,148.550003,149.399994,143.600006,144.199997,142.389832,1541727
05-01-2011,145.5,145.5,139.699997,140.149994,138.390686,1406599
06-01-2011,140,142.800003,138.699997,139.949997,138.193192,1333141
07-01-2011,139.899994,143.850006,137.550003,139.100006,137.353867,1950663
10-01-2011,138.5,140.449997,134.149994,135,133.305344,1162724
11-01-2011,134.050003,140.5,134.050003,137.800003,136.07019,1634768
12-01-2011,138.699997,139.699997,132.800003,138.300003,136.563919,1611283
13-01-2011,138.449997,142.899994,137.649994,138.5,136.761414,1528447
14-01-2011,139.699997,142.25,137.5,138.399994,136.662643,1269955
17-01-2011,134,136.600006,130.050003,131.800003,130.145493,1482997
18-01-2011,132.649994,133.600006,130.25,132.149994,130.491104,1151871
19-01-2011,132,133.75,129.800003,131,129.355545,874276
20-01-2011,129,134.399994,127.849998,133.25,131.577301,858679
21-01-2011,132.649994,136.600006,132.649994,136.100006,134.391525,903660
24-01-2011,136,136.850006,133.5,134.649994,132.959717,411919
25-01-2011,134.5,136.949997,132.100006,132.800003,131.13295,608019
27-01-2011,133.199997,134.5,126.050003,127.650002,126.0476,790049
28-01-2011,126.949997,127.5,123.699997,125.099998,123.52961,846480
31-01-2011,124.699997,124.699997,121.25,122.599998,121.060989,699488
01-02-2011,124.800003,125.199997,117.099998,118.349998,116.864342,1205883
02-02-2011,120.800003,121.300003,115.849998,117.050003,115.580658,1174848
03-02-2011,116.849998,119.199997,114.300003,118.050003,116.568115,1681863
04-02-2011,118.349998,120.900002,114,114.75,113.309532,1521841
07-02-2011,114,117.800003,114,115.550003,114.099487,918190
08-02-2011,116,117.25,110.199997,110.699997,109.310371,1253789
09-02-2011,109,109.75,90.800003,94.849998,93.65934,6011715
10-02-2011,97.5,101.699997,93,96.550003,95.337997,7785223
11-02-2011,98,99,89.699997,97.150002,95.930466,6020466
14-02-2011,97.800003,99,92.800003,97.400002,96.17733,5595535
15-02-2011,96.400002,103.5,95.150002,101.449997,100.176483,8738733
16-02-2011,102,102.349998,99.050003,99.699997,98.448448,3290055
17-02-2011,97.800003,101.300003,96.900002,99.949997,98.695313,3045206
18-02-2011,100.900002,100.900002,91.5,93.150002,91.980675,5561260
21-02-2011,93.800003,95.050003,91.300003,93.699997,92.523773,4299620
22-02-2011,93.599998,97.449997,92.699997,95.099998,93.906197,4599153
23-02-2011,94.5,98.849998,94.150002,96.5,95.28862,5248606
24-02-2011,97,97.75,92.099998,92.550003,91.388214,3789218
25-02-2011,93.599998,94.349998,85.199997,87.550003,86.450981,6101436
28-02-2011,89.5,89.949997,85.199997,86,84.920433,3578899
01-03-2011,87.449997,91.25,84.349998,90.300003,89.166458,5704280
03-03-2011,90,95,88.400002,93.25,92.079422,7994976
04-03-2011,94.150002,95.800003,92.599998,93.300003,92.128799,4051293
07-03-2011,111.949997,111.949997,74.650002,90.050003,88.919594,2756148
08-03-2011,90.25,91.900002,90,90.800003,89.660187,1924124
09-03-2011,91.099998,100.199997,90.900002,99.300003,98.053482,9742973
10-03-2011,99.900002,101.75,98,99.75,98.497833,7566223
11-03-2011,97.650002,99.650002,95.150002,96.300003,95.091141,4018659
14-03-2011,96.300003,101.900002,95.849998,100.5,99.238411,3781650
15-03-2011,98.25,104.150002,96.650002,100.949997,99.682762,7883663
16-03-2011,101.599998,104.900002,101.599998,102.949997,101.657654,4834963
17-03-2011,102.5,107.550003,102.050003,106.550003,105.212471,6592869
18-03-2011,107.699997,108.300003,103.800003,104.5,103.188202,4296110
21-03-2011,104.349998,105.75,102.099998,102.900002,101.608292,3005387
22-03-2011,103.599998,104.800003,103,103.5,102.200752,1581229
23-03-2011,103.699997,105.699997,103.25,104.650002,103.336327,1644474
24-03-2011,105.25,106.050003,103.900002,104.699997,103.385689,1043186
25-03-2011,105.900002,108.199997,104.400002,106.800003,105.459335,2238581
28-03-2011,106.199997,106.800003,104.599998,105.199997,103.87941,1429877
29-03-2011,104.900002,110.449997,104.900002,109.599998,108.224182,3689631
30-03-2011,110.25,111.800003,108.449997,109.900002,108.520409,1910164
31-03-2011,109.300003,111.550003,106.449997,107.699997,106.348022,1670692
01-04-2011,110,112.699997,109.449997,111.650002,110.248444,2475222
04-04-2011,108.400002,110.199997,107.25,109.150002,107.779831,1977724
05-04-2011,109.150002,113.849998,109.150002,112.199997,110.791542,3037228
06-04-2011,112.650002,113.800003,110.349998,110.849998,109.458481,1929996
07-04-2011,110.849998,112.300003,110,110.800003,109.409119,1555797
08-04-2011,111.25,111.900002,108.550003,109.349998,107.977318,1372502
11-04-2011,109.150002,109.300003,106.699997,107.150002,105.804939,1175687
13-04-2011,105.599998,109.25,104.650002,108.949997,107.582336,1576234
15-04-2011,108.550003,109.849998,107.050003,107.400002,106.051804,1026350
18-04-2011,108,109.550003,105.099998,105.599998,104.274391,1139137
19-04-2011,105.75,108.599998,105.550003,107.800003,106.446777,1276034
20-04-2011,108.150002,109.400002,101.650002,105.650002,104.323761,3642827
21-04-2011,105.400002,107.300003,105.099998,106.300003,104.965614,1126531
25-04-2011,106.5,106.849998,104.300003,104.800003,103.484436,676848
26-04-2011,104.849998,107.25,104.75,106.150002,104.81749,1017719
27-04-2011,106.599998,107.099998,104.650002,105.25,103.928787,656656
28-04-2011,105.300003,105.699997,99.5,99.849998,98.596573,1874912
29-04-2011,100,101.900002,98.599998,99.800003,98.547203,1102835
02-05-2011,100.449997,101.400002,97.949997,99.150002,97.905357,732814
03-05-2011,99.599998,100.400002,96.5,96.800003,95.584862,737345
04-05-2011,97.300003,98,93.300003,94.25,93.066879,1048357
05-05-2011,94,94.300003,88.349998,89.050003,87.932152,2356110
06-05-2011,90.900002,90.900002,85.800003,89.800003,88.672737,2394022
09-05-2011,91,91,88.150002,89.449997,88.327126,1249636
10-05-2011,90.25,92.900002,88.5,90.599998,89.462692,2547759
11-05-2011,91.449997,92.349998,90.699997,91.550003,90.400772,841587
12-05-2011,90.800003,93.199997,90.5,91.300003,90.1539,1460983
13-05-2011,91.199997,92.949997,90.150002,90.849998,89.709557,888100
16-05-2011,90.800003,91.800003,89.099998,89.449997,88.327126,791661
17-05-2011,89.599998,90.349998,88.25,89.050003,87.932152,663309
18-05-2011,89.800003,89.800003,85.400002,86.099998,85.01918,889293
19-05-2011,86.5,86.949997,82.449997,83.150002,82.106209,1493528
20-05-2011,83.900002,85.050003,82.099998,83.849998,82.797424,2071020
23-05-2011,83.849998,83.849998,80.849998,81.949997,80.921272,1042707
24-05-2011,81.949997,83.599998,80.199997,82.699997,81.66185,1823735
25-05-2011,82.75,82.849998,80.25,80.650002,79.637596,919474
26-05-2011,81.800003,81.800003,79.599998,80.449997,79.440102,1083138
27-05-2011,80.75,85.75,80.5,85,83.932991,2227508
30-05-2011,86,88.949997,83.75,87.5,86.401604,3169555
31-05-2011,86.699997,89.800003,85.699997,89.400002,88.277756,3144008
01-06-2011,90,95.150002,89.199997,93.699997,92.523773,3834331
02-06-2011,92.449997,95.5,87.050003,89.849998,88.722099,6069074
03-06-2011,94.949997,97.650002,92.199997,93.400002,92.227547,4666884
06-06-2011,94,94.199997,91.599998,92.5,91.338844,1801242
07-06-2011,92.449997,92.849998,90.849998,92,90.845116,1800055
08-06-2011,92.599998,95,92.449997,94.25,93.066879,3306677
09-06-2011,94.900002,95,92.25,93.050003,91.881935,1991148
10-06-2011,92.849998,93.75,91.849998,92.5,91.338844,924099
13-06-2011,92.5,94.699997,92.099998,94.150002,92.968132,1676966
14-06-2011,95,96.050003,94.300003,95.449997,94.251801,1582661
15-06-2011,95.400002,95.849998,93.199997,93.550003,92.375664,1199870
16-06-2011,92.5,94.800003,92.449997,93.699997,92.523773,1281845
17-06-2011,94.150002,95.650002,92.75,95.099998,93.906197,1670491
20-06-2011,92.849998,93.400002,86.099998,87.599998,86.500343,2689179
21-06-2011,88.800003,89.699997,86.75,87.599998,86.500343,1476291
22-06-2011,88.599998,88.949997,86.550003,87.699997,86.599091,832420
23-06-2011,86.75,91.199997,86.75,90.650002,89.512062,1861559
24-06-2011,90.800003,93.75,90.800003,93.5,92.326279,2162810
27-06-2011,91.199997,94.949997,91.199997,94.25,93.066879,985291
28-06-2011,95,95.800003,94.099998,94.75,93.560585,889714
29-06-2011,94.5,95.949997,94.150002,94.550003,93.363106,849392
30-06-2011,96,96.199997,94.25,95.699997,94.498657,983155
01-07-2011,96.599998,99.5,96.050003,97.400002,96.17733,1821753
04-07-2011,98.099998,101.099998,97.900002,100.599998,99.337158,1851577
05-07-2011,100.400002,100.900002,98.150002,99.699997,98.448448,1539739
06-07-2011,99,100.199997,96.599998,97.25,96.029213,1468573
07-07-2011,97.400002,99.300003,96.599998,98.599998,97.362267,1074789
08-07-2011,98.949997,99.300003,97.449997,97.650002,96.424194,925328
11-07-2011,95.5,99.900002,95.5,98.349998,97.115402,1301919
12-07-2011,97.400002,98.300003,94.800003,96.699997,95.486115,957628
13-07-2011,96.849998,99.699997,96.849998,98.25,97.016655,1708603
14-07-2011,97.900002,98.199997,96.300003,96.849998,95.634239,1151832
15-07-2011,96.800003,97.699997,95.150002,95.599998,94.399925,704881
18-07-2011,95.800003,96.599998,93.699997,94,92.820007,1004060
19-07-2011,94.099998,95.550003,93.300003,95.199997,94.004944,817562
20-07-2011,96.699997,97.099998,94.150002,94.449997,93.264359,698875
21-07-2011,95,95,89.650002,90.449997,89.314568,1060085
22-07-2011,91.75,94,89.900002,93.550003,92.375664,1901037
25-07-2011,94,108.5,94,107.5,106.150543,10353938
26-07-2011,106,107.199997,100.300003,101.550003,100.275238,5843944
27-07-2011,102.300003,104.900002,100,103.150002,101.855148,4374404
28-07-2011,102,103.849998,100,100.650002,99.386536,1653946
29-07-2011,101.150002,103.599998,100.5,101.550003,100.275238,2416718
01-08-2011,102.599998,103.800003,100.75,102.5,101.21331,1620529
02-08-2011,102,102.199997,97.699997,98.949997,97.70787,1945090
03-08-2011,97.050003,99.199997,96,98.550003,97.312897,1407065
04-08-2011,98.900002,101.849998,98.25,99.199997,97.954727,1883074
05-08-2011,95.300003,96.5,90.300003,92.099998,90.943863,2018279
08-08-2011,90.650002,90.650002,86.25,87.900002,86.796585,2531697
09-08-2011,84,88.449997,82.849998,83.900002,82.846802,2758892
10-08-2011,87.25,88,84.550003,85.699997,84.624199,1568823
11-08-2011,86.5,88,85.300003,86.449997,85.364784,1280221
12-08-2011,88.25,89,84,84.300003,83.241776,1594406
16-08-2011,85.5,85.800003,76.25,77.400002,76.428391,2656078
17-08-2011,78,79,74.099998,75.300003,74.354759,3142876
18-08-2011,76,78,75.199997,75.800003,74.848473,1750777
19-08-2011,75,75.099998,72.599998,73.949997,73.021698,1379997
22-08-2011,74.900002,79.400002,74.699997,78.699997,77.712067,1520633
23-08-2011,80,81.25,78.300003,79.599998,78.600777,1334788
24-08-2011,79.400002,82.800003,78.5,79.800003,78.798264,2052868
25-08-2011,80.300003,82.199997,78.199997,81,79.9832,1858634
26-08-2011,80.800003,81.300003,71.699997,72.25,71.34304,3825105
29-08-2011,74,78.699997,73.599998,76.650002,75.687805,3503604
30-08-2011,79,81.300003,78.400002,79.449997,78.452652,3594435
02-09-2011,81.5,85.099998,79.75,84.449997,83.389885,3218791
05-09-2011,82.800003,88.300003,82.75,87.900002,86.796585,3196928
06-09-2011,87.400002,88.699997,83.449997,86.449997,85.364784,2675549
